"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0001539","Asymmetric dimethylarginine","HMDB0001539","123831","17929","C03626","6309","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"HMDB0011151","PC(O-34:2)","HMDB0011151","6443157","86231",NA,NA,"CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0094701","N-Acetylproline","HMDB0094701","66141","21560",NA,NA,"[H][C@]1(CCCN1C(C)=O)C(O)=O","1"
"HMDB0001138","N-Acetyl-L-glutamic acid","HMDB0001138","70914","17533","C00624","6031","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"HMDB0000766","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"HMDB0012108","LysoPC(17:0/0:0)","HMDB0012108","24779463","74340","C04230",NA,"CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000060","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(O)=O","1"
"HMDB0000019","alpha-Ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(O)=O","1"
"HMDB0002064","N-Acetylputrescine","HMDB0002064","122356","17768","C02714","3252","CC(=O)NCCCCN","1"
"HMDB0000148","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"HMDB0000259","Serotonin","HMDB0000259","5202","28790","C00780","74","NCCC1=CNC2=C1C=C(O)C=C2","1"
"HMDB0013411","PC(O-32:2)","HMDB0013411","53481705","86425",NA,NA,"CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0000190","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"HMDB0013402","PC(O-30:1)","HMDB0013402","24779277","86225",NA,NA,"CCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0000161","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"HMDB0010369","CE(18:3)","HMDB0010369","53480458","88756",NA,NA,"CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"HMDB0000407","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823","60645",NA,"5396","CC(C)C(O)C(O)=O","1"
"HMDB0000232","Quinolinic acid","HMDB0000232","1066","16675","C03722","330","OC(=O)C1=CC=CN=C1C(O)=O","1"
"HMDB0006726","CE(20:4)","HMDB0006726","6479222",NA,"C02530",NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"HMDB0000201","L-Acetylcarnitine","HMDB0000201","7045767","57589","C02571","5213","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000158","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"HMDB0007886","PC(36:0)","HMDB0007886","24778638","86107","C00157",NA,"[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC","1"
"HMDB0000479","Methylhistidine","HMDB0000479","64969","27596","C01152","5466","[H][C@](N)(CC1=CN=CN1C)C(O)=O","1"
"HMDB0000254","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"HMDB0004974","GlcCer(d18:1/22:0)","HMDB0004974","10373084","62107","C01190","7227","CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0000149","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"HMDB0008057","PC(40:6)","HMDB0008057","24778876","84829","C00157",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"HMDB0000289","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"HMDB0000883","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"HMDB0013414","PC(O-36:1)","HMDB0013414","53481711","89893",NA,NA,"CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000906","Trimethylamine","HMDB0000906","1146","18139","C00565","3772","CN(C)C","1"
"HMDB0005369","TG(16:0_36:2)","HMDB0005369","9544069",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0011697","SM(d18:1/24:0)","HMDB0011697","44260127","83360",NA,NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0010437","TG(18:1(11Z)/16:0/18:1(11Z))","HMDB0010437","53480501",NA,NA,NA,"[H]C(COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0000671","Indolelactic acid","HMDB0000671","676157","24813","C02043","5641","O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"HMDB0000143","D-Galactose","HMDB0000143","439357","28061","C00124","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"HMDB0013462","Hydroxysphingomyeline C14:1","HMDB0013462","53481777","90011","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CC(O)CCCCC\C=C/CCCC","1"
"HMDB0013456","PC(O-44:5)","HMDB0013456","53481767","89995",NA,NA,"CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0000002","1,3-Diaminopropane","HMDB0000002","428","15725","C00986","5081","NCCCN","1"
"HMDB0000564","PC(32:0)","HMDB0000564","452110","72999","C00157","5548","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0002302","Indole-3-propionic acid","HMDB0002302","3744","43580",NA,"6602","OC(=O)CCC1=CNC2=C1C=CC=C2","1"
"HMDB0005411","TG(18:0_36:4)","HMDB0005411","25240370",NA,NA,"4984","[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0052442","TG(18:2(9Z,12Z)/18:0/18:3(6Z,9Z,12Z))","HMDB0052442","131763123",NA,NA,NA,"[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0010386","LysoPC(18:2/0:0)","HMDB0010386","11005824","28733","C04230",NA,"CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0008191","PC(42:4)","HMDB0008191","53478821","86422","C00157",NA,"CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0003148","Argininic acid","HMDB0003148","160437",NA,NA,NA,"NC(=N)NCCC[C@H](O)C(O)=O","1"
"HMDB0000532","Acetylglycine","HMDB0000532","10972","40410",NA,"5517","CC(=O)NCC(O)=O","1"
"HMDB0000482","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(O)=O","1"
"HMDB0049150","TG(18:1(11Z)/18:0/18:4(6Z,9Z,12Z,15Z))","HMDB0049150","131759951",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0004952","Cer(d18:1/22:0)","HMDB0004952","5283567","72966","C00195","7205","[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0013439","PC(O-38:3)","HMDB0013439","52923834",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0000610","CE(18:2)","HMDB0000610","131801653","41509","C15441","5584","CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"HMDB0013431","PC(O-38:2)","HMDB0013431","53481729","89863",NA,NA,"CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000336","(R)-3-Hydroxyisobutyric acid","HMDB0000336","11217234",NA,NA,NA,"C[C@H](CO)C(O)=O","1"
"HMDB0000123","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"HMDB0049276","TG(18:1(11Z)/18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0049276","131760073",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"HMDB0000446","N-alpha-Acetyl-L-lysine","HMDB0000446","92907","35704","C12989","5435","CC(=O)N[C@@H](CCCCN)C(O)=O","1"
"HMDB0000661","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"HMDB0007879","PC(34:1)","HMDB0007879","52922226","89520","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0000824","Propionylcarnitine","HMDB0000824","188824","53210","C03017","5787","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0004956","Cer(d18:1/24:0)","HMDB0004956","5283571","72965","C00195","7209","[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0002815","LysoPC(18:1/0:0)","HMDB0002815","16081932","28610","C04230","184","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000729","alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(O)=O","1"
"HMDB0006028","N-Acetylasparagine","HMDB0006028","99715",NA,NA,NA,"CC(=O)N[C@@H](CC(N)=O)C(O)=O","1"
"HMDB0008288","PC(42:6)","HMDB0008288","24779053","86221","C00157",NA,"CCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"HMDB0000202","Methylmalonic acid","HMDB0000202","487","30860","C02170","3712","CC(C(O)=O)C(O)=O","1"
"HMDB0000162","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"HMDB0000790","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB0000679","Homocitrulline","HMDB0000679","65072","17443","C02427","46","N[C@@H](CCCCNC(N)=O)C(O)=O","1"
"HMDB0005405","TG(18:0_36:3)","HMDB0005405","9544216",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0013678","p-Hydroxyhippuric acid","HMDB0013678","151012","71018",NA,NA,"OC(=O)CNC(=O)C1=CC=C(O)C=C1","1"
"HMDB0000715","Kynurenic acid","HMDB0000715","3845","18344","C01717","5683","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"HMDB0013416","PC(O-38:1)","HMDB0013416","53481715","89894",NA,NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0007887","PC(36:1)","HMDB0007887","53478609","89516","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0052545","TG(18:2(9Z,12Z)/18:1(11Z)/O-18:0)","HMDB0052545","131763220",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"HMDB0000317","2-Hydroxy-3-methylpentanoic acid","HMDB0000317","10796774","89228",NA,"5306","CC[C@@H](C)[C@@H](O)C(O)=O","1"
"HMDB0000695","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"HMDB0013420","PC(O-38:4)","HMDB0013420","6443065","75245",NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0000139","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"HMDB0240680","Cer(d18:2/24:1)","HMDB0240680",NA,NA,NA,NA,"[H][C@@](CO)(NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC","1"
"HMDB0000209","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"HMDB0000622","Ethylmalonic acid","HMDB0000622","11756","741548",NA,"4180","CCC(C(O)=O)C(O)=O","1"
"HMDB0001348","SM(d18:1/18:0)","HMDB0001348","6453725","83358","C00550","176","[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0000462","Allantoin","HMDB0000462","204","15676","C02350","89","NC(=O)NC1NC(=O)NC1=O","1"
"HMDB0000684","Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"HMDB0000167","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"HMDB0000191","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"HMDB0000904","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"HMDB0001276","N1-Acetylspermidine","HMDB0001276","496","17927","C00612","3323","CC(=O)NCCCNCCCCN","1"
"HMDB0000696","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"HMDB0013404","PC(O-32:1)","HMDB0013404","52923742","89906",NA,NA,"CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0000593","PC(36:2)","HMDB0000593","10350317","74669","C00157","5572","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0000214","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"HMDB0006750","LacCer(d18:1/16:0)","HMDB0006750","53477895","84758","C01290",NA,"[H][C@@](CO[C@@H]1O[C@H](CO)[C@@H](O[C@]2([H])O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0008690","PC(36:6)","HMDB0008690","53479343","88430","C00157",NA,"CCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000517","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB0000062","L-Carnitine","HMDB0000062","10917","16347","C00487","52","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"HMDB0000725","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"HMDB0004978","GlcCer(d18:1/24:0)","HMDB0004978","6321361",NA,NA,"7231","CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0002013","Butyrylcarnitine","HMDB0002013","213144","21949","C02862","6436","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0000128","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"HMDB0004193","Nudifloramide","HMDB0004193","69698","27410","C05842","7025","CN1C=C(C=CC1=O)C(N)=O","1"
"HMDB0000950","Cer(d18:1/23:0)","HMDB0000950","52931115","84372",NA,"5896","[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0008257","PC(42:5)","HMDB0008257","53478869","89432","C00157",NA,"CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0013407","PC(O-36:4)","HMDB0013407","53481701","89903",NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"HMDB0013467","Hydroxysphingomyeline C22:2","HMDB0013467","53481787","90003","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CC(O)CCCCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0052441","TG(18:2(9Z,12Z)/18:0/18:2(9Z,12Z))","HMDB0052441","15607293",NA,NA,NA,"[H]C(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0000157","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"HMDB0000072","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"HMDB0007190","DG(18:1/18:2)","HMDB0007190","53478065","88372",NA,NA,"[H][C@](CO)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0011635","p-Cresol sulfate","HMDB0011635","4615423","82914",NA,NA,"CC1=CC=C(OS(O)(=O)=O)C=C1","1"
"HMDB0052887","TG(18:3(6Z,9Z,12Z)/18:0/18:3(6Z,9Z,12Z))","HMDB0052887","131763538",NA,NA,NA,"[H]C(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0006344","Phenylacetylglutamine","HMDB0006344","92258","17884","C04148",NA,"NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"HMDB0000641","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"HMDB0000177","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"HMDB0002005","Methionine sulfoxide","HMDB0002005","158980","17016","C02989","6428","CS(=O)CC[C@H](N)C(O)=O","1"
"HMDB0013405","PC(O-34:0)","HMDB0013405","11803170","86229",NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0013425","PC(O-36:3)","HMDB0013425","53481721","89879",NA,NA,"CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0013466","Hydroxysphingomyeline C22:1","HMDB0013466","53481785","90010","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CC(O)CCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0000056","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"HMDB0000918","CE(18:1)","HMDB0000918","50938266","46898","C14641","5872","CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"HMDB0000943","Threonic acid","HMDB0000943","5460407","15908","C01620","5891","OC[C@H](O)[C@@H](O)C(O)=O","1"
"HMDB0013445","PC(O-40:3)","HMDB0013445","53481745","89854",NA,NA,"CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0010169","SM(d18:1/16:0)","HMDB0010169","9939941","78646","C00550",NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0240613","SM(d18:1/16:1)","HMDB0240613","52931145","64487",NA,NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCC\C=C/CCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0013461","SM(d18:1/26:1)","HMDB0013461","44260128","84476","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0004872","LacCer(d18:1/24:1)","HMDB0004872","90659830","84765","C01290","7129","[H][C@@](CO[C@@H]1O[C@H](CO)[C@@H](O[C@]2([H])O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)(NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0013434","PC(O-42:1)","HMDB0013434","53481733",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000925","Trimethylamine N-oxide","HMDB0000925","1145","15724","C01104","5876","C[N+](C)(C)[O-]","1"
"HMDB0053068","TG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z)/O-18:0)","HMDB0053068","131763719",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0007880","PC(34:2)","HMDB0007880","52922228","89518","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0000099","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB0000193","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"HMDB0002643","HPHPA","HMDB0002643","102959","86369",NA,"6729","OC(CC(O)=O)C1=CC(O)=CC=C1","1"
"HMDB0013450","PC(O-44:6)","HMDB0013450","53481755",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"HMDB0000159","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"HMDB0010382","LysoPC(16:0/0:0)","HMDB0010382","460602","72998","C04230",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0013453","PC(O-44:4)","HMDB0013453","53481761","89998",NA,NA,"CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0055910","TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z)/O-18:0)","HMDB0055910","131766401",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0013415","PC(O-36:5)","HMDB0013415","53481713",NA,NA,NA,"CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0007867","PC(28:1)","HMDB0007867","52922210","89525","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC","1"
"HMDB0059655","2-Hydroxyglutarate","HMDB0059655","43","17084","C02630",NA,"OC(CCC(O)=O)C(O)=O","1"
